Start date,End date,grid load [MWh],,,
"Feb 9, 2022 12:00 AM","Feb 9, 2022 1:00 AM","55,956.75",,,
"Feb 9, 2022 1:00 AM","Feb 9, 2022 2:00 AM","53,999.75",,,
"Feb 9, 2022 2:00 AM","Feb 9, 2022 3:00 AM","52,835.50",,,
"Feb 9, 2022 3:00 AM","Feb 9, 2022 4:00 AM","53,346.50",,,
"Feb 9, 2022 4:00 AM","Feb 9, 2022 5:00 AM","55,032.25",,,
"Feb 9, 2022 5:00 AM","Feb 9, 2022 6:00 AM","57,854.50",,,
"Feb 9, 2022 6:00 AM","Feb 9, 2022 7:00 AM","65,490.25",,,
"Feb 9, 2022 7:00 AM","Feb 9, 2022 8:00 AM","71,815.25",,,
"Feb 9, 2022 8:00 AM","Feb 9, 2022 9:00 AM","73,882.50",,,
"Feb 9, 2022 9:00 AM","Feb 9, 2022 10:00 AM","74,337.00",,,
"Feb 9, 2022 10:00 AM","Feb 9, 2022 11:00 AM","74,517.25",,,
"Feb 9, 2022 11:00 AM","Feb 9, 2022 12:00 PM","75,142.75",,,
"Feb 9, 2022 12:00 PM","Feb 9, 2022 1:00 PM","74,334.75",,,
"Feb 9, 2022 1:00 PM","Feb 9, 2022 2:00 PM","73,126.00",,,
"Feb 9, 2022 2:00 PM","Feb 9, 2022 3:00 PM","71,557.25",,,
"Feb 9, 2022 3:00 PM","Feb 9, 2022 4:00 PM","70,217.25",,,
"Feb 9, 2022 4:00 PM","Feb 9, 2022 5:00 PM","69,244.25",,,
"Feb 9, 2022 5:00 PM","Feb 9, 2022 6:00 PM","71,486.00",,,
"Feb 9, 2022 6:00 PM","Feb 9, 2022 7:00 PM","73,294.50",,,
"Feb 9, 2022 7:00 PM","Feb 9, 2022 8:00 PM","71,698.00",,,
"Feb 9, 2022 8:00 PM","Feb 9, 2022 9:00 PM","67,470.75",,,
"Feb 9, 2022 9:00 PM","Feb 9, 2022 10:00 PM","63,700.75",,,
"Feb 9, 2022 10:00 PM","Feb 9, 2022 11:00 PM","60,568.25",,,
"Feb 9, 2022 11:00 PM","Feb 10, 2022 12:00 AM","56,858.25",,,
"Feb 10, 2022 12:00 AM","Feb 10, 2022 1:00 AM","54,159.50",,,
"Feb 10, 2022 1:00 AM","Feb 10, 2022 2:00 AM","52,306.50",,,
"Feb 10, 2022 2:00 AM","Feb 10, 2022 3:00 AM","51,570.25",,,
"Feb 10, 2022 3:00 AM","Feb 10, 2022 4:00 AM","52,047.00",,,
"Feb 10, 2022 4:00 AM","Feb 10, 2022 5:00 AM","53,354.50",,,
"Feb 10, 2022 5:00 AM","Feb 10, 2022 6:00 AM","56,349.75",,,
"Feb 10, 2022 6:00 AM","Feb 10, 2022 7:00 AM","63,525.50",,,
"Feb 10, 2022 7:00 AM","Feb 10, 2022 8:00 AM","69,281.75",,,
"Feb 10, 2022 8:00 AM","Feb 10, 2022 9:00 AM","71,677.00",,,
"Feb 10, 2022 9:00 AM","Feb 10, 2022 10:00 AM","71,832.75",,,
"Feb 10, 2022 10:00 AM","Feb 10, 2022 11:00 AM","73,013.75",,,
"Feb 10, 2022 11:00 AM","Feb 10, 2022 12:00 PM","73,664.00",,,
"Feb 10, 2022 12:00 PM","Feb 10, 2022 1:00 PM","73,900.25",,,
"Feb 10, 2022 1:00 PM","Feb 10, 2022 2:00 PM","72,690.75",,,
"Feb 10, 2022 2:00 PM","Feb 10, 2022 3:00 PM","71,105.25",,,
"Feb 10, 2022 3:00 PM","Feb 10, 2022 4:00 PM","70,614.50",,,
"Feb 10, 2022 4:00 PM","Feb 10, 2022 5:00 PM","70,131.25",,,
"Feb 10, 2022 5:00 PM","Feb 10, 2022 6:00 PM","71,754.75",,,
"Feb 10, 2022 6:00 PM","Feb 10, 2022 7:00 PM","73,636.75",,,
"Feb 10, 2022 7:00 PM","Feb 10, 2022 8:00 PM","71,776.25",,,
"Feb 10, 2022 8:00 PM","Feb 10, 2022 9:00 PM","67,946.00",,,
"Feb 10, 2022 9:00 PM","Feb 10, 2022 10:00 PM","64,175.00",,,
"Feb 10, 2022 10:00 PM","Feb 10, 2022 11:00 PM","60,934.25",,,
"Feb 10, 2022 11:00 PM","Feb 11, 2022 12:00 AM","56,888.50",,,
"Feb 11, 2022 12:00 AM","Feb 11, 2022 1:00 AM","55,016.25",,,
"Feb 11, 2022 1:00 AM","Feb 11, 2022 2:00 AM","53,239.75",,,
"Feb 11, 2022 2:00 AM","Feb 11, 2022 3:00 AM","52,718.50",,,
"Feb 11, 2022 3:00 AM","Feb 11, 2022 4:00 AM","52,993.25",,,
"Feb 11, 2022 4:00 AM","Feb 11, 2022 5:00 AM","54,461.50",,,
"Feb 11, 2022 5:00 AM","Feb 11, 2022 6:00 AM","57,796.75",,,
"Feb 11, 2022 6:00 AM","Feb 11, 2022 7:00 AM","64,787.25",,,
"Feb 11, 2022 7:00 AM","Feb 11, 2022 8:00 AM","70,705.00",,,
"Feb 11, 2022 8:00 AM","Feb 11, 2022 9:00 AM","73,132.50",,,
"Feb 11, 2022 9:00 AM","Feb 11, 2022 10:00 AM","74,279.50",,,
"Feb 11, 2022 10:00 AM","Feb 11, 2022 11:00 AM","74,802.75",,,
"Feb 11, 2022 11:00 AM","Feb 11, 2022 12:00 PM","75,720.50",,,
"Feb 11, 2022 12:00 PM","Feb 11, 2022 1:00 PM","74,950.00",,,
"Feb 11, 2022 1:00 PM","Feb 11, 2022 2:00 PM","73,581.00",,,
"Feb 11, 2022 2:00 PM","Feb 11, 2022 3:00 PM","71,554.00",,,
"Feb 11, 2022 3:00 PM","Feb 11, 2022 4:00 PM","70,543.75",,,
"Feb 11, 2022 4:00 PM","Feb 11, 2022 5:00 PM","69,965.25",,,
"Feb 11, 2022 5:00 PM","Feb 11, 2022 6:00 PM","71,472.50",,,
"Feb 11, 2022 6:00 PM","Feb 11, 2022 7:00 PM","73,262.00",,,
"Feb 11, 2022 7:00 PM","Feb 11, 2022 8:00 PM","71,554.50",,,
"Feb 11, 2022 8:00 PM","Feb 11, 2022 9:00 PM","66,899.25",,,
"Feb 11, 2022 9:00 PM","Feb 11, 2022 10:00 PM","63,045.25",,,
"Feb 11, 2022 10:00 PM","Feb 11, 2022 11:00 PM","59,863.00",,,
"Feb 11, 2022 11:00 PM","Feb 12, 2022 12:00 AM","56,395.50",,,
"Feb 12, 2022 12:00 AM","Feb 12, 2022 1:00 AM","53,343.50",,,
"Feb 12, 2022 1:00 AM","Feb 12, 2022 2:00 AM","52,089.75",,,
"Feb 12, 2022 2:00 AM","Feb 12, 2022 3:00 AM","51,232.75",,,
"Feb 12, 2022 3:00 AM","Feb 12, 2022 4:00 AM","50,598.25",,,
"Feb 12, 2022 4:00 AM","Feb 12, 2022 5:00 AM","50,629.00",,,
"Feb 12, 2022 5:00 AM","Feb 12, 2022 6:00 AM","50,893.50",,,
"Feb 12, 2022 6:00 AM","Feb 12, 2022 7:00 AM","52,206.00",,,
"Feb 12, 2022 7:00 AM","Feb 12, 2022 8:00 AM","55,024.75",,,
"Feb 12, 2022 8:00 AM","Feb 12, 2022 9:00 AM","59,141.00",,,
"Feb 12, 2022 9:00 AM","Feb 12, 2022 10:00 AM","61,971.50",,,
"Feb 12, 2022 10:00 AM","Feb 12, 2022 11:00 AM","62,914.25",,,
"Feb 12, 2022 11:00 AM","Feb 12, 2022 12:00 PM","62,508.75",,,
"Feb 12, 2022 12:00 PM","Feb 12, 2022 1:00 PM","61,497.25",,,
"Feb 12, 2022 1:00 PM","Feb 12, 2022 2:00 PM","59,683.50",,,
"Feb 12, 2022 2:00 PM","Feb 12, 2022 3:00 PM","58,085.50",,,
"Feb 12, 2022 3:00 PM","Feb 12, 2022 4:00 PM","56,999.25",,,
"Feb 12, 2022 4:00 PM","Feb 12, 2022 5:00 PM","58,068.75",,,
"Feb 12, 2022 5:00 PM","Feb 12, 2022 6:00 PM","61,875.75",,,
"Feb 12, 2022 6:00 PM","Feb 12, 2022 7:00 PM","65,467.75",,,
"Feb 12, 2022 7:00 PM","Feb 12, 2022 8:00 PM","63,839.00",,,
"Feb 12, 2022 8:00 PM","Feb 12, 2022 9:00 PM","60,356.25",,,
"Feb 12, 2022 9:00 PM","Feb 12, 2022 10:00 PM","57,630.25",,,
"Feb 12, 2022 10:00 PM","Feb 12, 2022 11:00 PM","56,343.00",,,
"Feb 12, 2022 11:00 PM","Feb 13, 2022 12:00 AM","53,762.00",,,
"Feb 13, 2022 12:00 AM","Feb 13, 2022 1:00 AM","51,003.25",,,
"Feb 13, 2022 1:00 AM","Feb 13, 2022 2:00 AM","49,492.00",,,
"Feb 13, 2022 2:00 AM","Feb 13, 2022 3:00 AM","48,242.00",,,
"Feb 13, 2022 3:00 AM","Feb 13, 2022 4:00 AM","47,673.25",,,
"Feb 13, 2022 4:00 AM","Feb 13, 2022 5:00 AM","47,629.50",,,
"Feb 13, 2022 5:00 AM","Feb 13, 2022 6:00 AM","47,266.25",,,
"Feb 13, 2022 6:00 AM","Feb 13, 2022 7:00 AM","47,728.00",,,
"Feb 13, 2022 7:00 AM","Feb 13, 2022 8:00 AM","49,600.50",,,
"Feb 13, 2022 8:00 AM","Feb 13, 2022 9:00 AM","52,881.00",,,
"Feb 13, 2022 9:00 AM","Feb 13, 2022 10:00 AM","55,672.00",,,
"Feb 13, 2022 10:00 AM","Feb 13, 2022 11:00 AM","57,118.25",,,
"Feb 13, 2022 11:00 AM","Feb 13, 2022 12:00 PM","58,813.50",,,
"Feb 13, 2022 12:00 PM","Feb 13, 2022 1:00 PM","57,697.50",,,
"Feb 13, 2022 1:00 PM","Feb 13, 2022 2:00 PM","55,354.25",,,
"Feb 13, 2022 2:00 PM","Feb 13, 2022 3:00 PM","53,524.25",,,
"Feb 13, 2022 3:00 PM","Feb 13, 2022 4:00 PM","52,752.00",,,
"Feb 13, 2022 4:00 PM","Feb 13, 2022 5:00 PM","53,421.25",,,
"Feb 13, 2022 5:00 PM","Feb 13, 2022 6:00 PM","58,227.00",,,
"Feb 13, 2022 6:00 PM","Feb 13, 2022 7:00 PM","63,089.25",,,
"Feb 13, 2022 7:00 PM","Feb 13, 2022 8:00 PM","61,958.75",,,
"Feb 13, 2022 8:00 PM","Feb 13, 2022 9:00 PM","59,280.75",,,
"Feb 13, 2022 9:00 PM","Feb 13, 2022 10:00 PM","57,498.25",,,
"Feb 13, 2022 10:00 PM","Feb 13, 2022 11:00 PM","57,473.75",,,
"Feb 13, 2022 11:00 PM","Feb 14, 2022 12:00 AM","55,066.00",,,
"Feb 14, 2022 12:00 AM","Feb 14, 2022 1:00 AM","52,524.00",,,
"Feb 14, 2022 1:00 AM","Feb 14, 2022 2:00 AM","51,079.50",,,
"Feb 14, 2022 2:00 AM","Feb 14, 2022 3:00 AM","50,537.75",,,
"Feb 14, 2022 3:00 AM","Feb 14, 2022 4:00 AM","50,906.25",,,
"Feb 14, 2022 4:00 AM","Feb 14, 2022 5:00 AM","52,550.50",,,
"Feb 14, 2022 5:00 AM","Feb 14, 2022 6:00 AM","56,390.25",,,
"Feb 14, 2022 6:00 AM","Feb 14, 2022 7:00 AM","64,430.25",,,
"Feb 14, 2022 7:00 AM","Feb 14, 2022 8:00 AM","69,917.00",,,
"Feb 14, 2022 8:00 AM","Feb 14, 2022 9:00 AM","72,936.00",,,
"Feb 14, 2022 9:00 AM","Feb 14, 2022 10:00 AM","73,406.75",,,
"Feb 14, 2022 10:00 AM","Feb 14, 2022 11:00 AM","73,633.50",,,
"Feb 14, 2022 11:00 AM","Feb 14, 2022 12:00 PM","74,458.50",,,
"Feb 14, 2022 12:00 PM","Feb 14, 2022 1:00 PM","74,363.25",,,
"Feb 14, 2022 1:00 PM","Feb 14, 2022 2:00 PM","72,726.50",,,
"Feb 14, 2022 2:00 PM","Feb 14, 2022 3:00 PM","71,213.75",,,
"Feb 14, 2022 3:00 PM","Feb 14, 2022 4:00 PM","70,381.50",,,
"Feb 14, 2022 4:00 PM","Feb 14, 2022 5:00 PM","69,648.75",,,
"Feb 14, 2022 5:00 PM","Feb 14, 2022 6:00 PM","71,488.50",,,
"Feb 14, 2022 6:00 PM","Feb 14, 2022 7:00 PM","73,712.75",,,
"Feb 14, 2022 7:00 PM","Feb 14, 2022 8:00 PM","72,199.50",,,
"Feb 14, 2022 8:00 PM","Feb 14, 2022 9:00 PM","68,181.25",,,
"Feb 14, 2022 9:00 PM","Feb 14, 2022 10:00 PM","64,289.50",,,
"Feb 14, 2022 10:00 PM","Feb 14, 2022 11:00 PM","61,076.75",,,
"Feb 14, 2022 11:00 PM","Feb 15, 2022 12:00 AM","57,393.00",,,
"Feb 15, 2022 12:00 AM","Feb 15, 2022 1:00 AM","55,075.00",,,
"Feb 15, 2022 1:00 AM","Feb 15, 2022 2:00 AM","53,643.50",,,
"Feb 15, 2022 2:00 AM","Feb 15, 2022 3:00 AM","52,597.00",,,
"Feb 15, 2022 3:00 AM","Feb 15, 2022 4:00 AM","53,095.75",,,
"Feb 15, 2022 4:00 AM","Feb 15, 2022 5:00 AM","54,718.50",,,
"Feb 15, 2022 5:00 AM","Feb 15, 2022 6:00 AM","57,761.25",,,
"Feb 15, 2022 6:00 AM","Feb 15, 2022 7:00 AM","64,695.50",,,
"Feb 15, 2022 7:00 AM","Feb 15, 2022 8:00 AM","70,698.75",,,
"Feb 15, 2022 8:00 AM","Feb 15, 2022 9:00 AM","73,370.00",,,
"Feb 15, 2022 9:00 AM","Feb 15, 2022 10:00 AM","73,633.75",,,
"Feb 15, 2022 10:00 AM","Feb 15, 2022 11:00 AM","74,130.75",,,
"Feb 15, 2022 11:00 AM","Feb 15, 2022 12:00 PM","75,205.75",,,
"Feb 15, 2022 12:00 PM","Feb 15, 2022 1:00 PM","74,546.00",,,
"Feb 15, 2022 1:00 PM","Feb 15, 2022 2:00 PM","72,856.00",,,
"Feb 15, 2022 2:00 PM","Feb 15, 2022 3:00 PM","71,204.00",,,
"Feb 15, 2022 3:00 PM","Feb 15, 2022 4:00 PM","70,775.75",,,
"Feb 15, 2022 4:00 PM","Feb 15, 2022 5:00 PM","69,811.50",,,
"Feb 15, 2022 5:00 PM","Feb 15, 2022 6:00 PM","71,741.25",,,
"Feb 15, 2022 6:00 PM","Feb 15, 2022 7:00 PM","74,576.00",,,
"Feb 15, 2022 7:00 PM","Feb 15, 2022 8:00 PM","74,588.00",,,
"Feb 15, 2022 8:00 PM","Feb 15, 2022 9:00 PM","70,422.00",,,
"Feb 15, 2022 9:00 PM","Feb 15, 2022 10:00 PM","66,692.00",,,
"Feb 15, 2022 10:00 PM","Feb 15, 2022 11:00 PM","63,576.25",,,
"Feb 15, 2022 11:00 PM","Feb 16, 2022 12:00 AM","59,861.75",,,
"Feb 16, 2022 12:00 AM","Feb 16, 2022 1:00 AM","56,406.25",,,
"Feb 16, 2022 1:00 AM","Feb 16, 2022 2:00 AM","54,691.25",,,
"Feb 16, 2022 2:00 AM","Feb 16, 2022 3:00 AM","53,275.25",,,
"Feb 16, 2022 3:00 AM","Feb 16, 2022 4:00 AM","53,455.00",,,
"Feb 16, 2022 4:00 AM","Feb 16, 2022 5:00 AM","55,160.50",,,
"Feb 16, 2022 5:00 AM","Feb 16, 2022 6:00 AM","58,478.25",,,
"Feb 16, 2022 6:00 AM","Feb 16, 2022 7:00 AM","64,998.25",,,
"Feb 16, 2022 7:00 AM","Feb 16, 2022 8:00 AM","70,835.75",,,
"Feb 16, 2022 8:00 AM","Feb 16, 2022 9:00 AM","73,773.50",,,
"Feb 16, 2022 9:00 AM","Feb 16, 2022 10:00 AM","75,118.25",,,
"Feb 16, 2022 10:00 AM","Feb 16, 2022 11:00 AM","74,968.00",,,
"Feb 16, 2022 11:00 AM","Feb 16, 2022 12:00 PM","75,641.75",,,
"Feb 16, 2022 12:00 PM","Feb 16, 2022 1:00 PM","75,188.25",,,
"Feb 16, 2022 1:00 PM","Feb 16, 2022 2:00 PM","74,208.00",,,
"Feb 16, 2022 2:00 PM","Feb 16, 2022 3:00 PM","73,128.50",,,
"Feb 16, 2022 3:00 PM","Feb 16, 2022 4:00 PM","72,445.50",,,
"Feb 16, 2022 4:00 PM","Feb 16, 2022 5:00 PM","71,248.75",,,
"Feb 16, 2022 5:00 PM","Feb 16, 2022 6:00 PM","72,371.50",,,
"Feb 16, 2022 6:00 PM","Feb 16, 2022 7:00 PM","74,670.50",,,
"Feb 16, 2022 7:00 PM","Feb 16, 2022 8:00 PM","73,218.50",,,
"Feb 16, 2022 8:00 PM","Feb 16, 2022 9:00 PM","68,948.75",,,
"Feb 16, 2022 9:00 PM","Feb 16, 2022 10:00 PM","65,190.25",,,
"Feb 16, 2022 10:00 PM","Feb 16, 2022 11:00 PM","62,350.50",,,
"Feb 16, 2022 11:00 PM","Feb 17, 2022 12:00 AM","58,635.00",,,
"Feb 17, 2022 12:00 AM","Feb 17, 2022 1:00 AM","56,449.00",,,
"Feb 17, 2022 1:00 AM","Feb 17, 2022 2:00 AM","54,075.75",,,
"Feb 17, 2022 2:00 AM","Feb 17, 2022 3:00 AM","52,974.25",,,
"Feb 17, 2022 3:00 AM","Feb 17, 2022 4:00 AM","53,198.50",,,
"Feb 17, 2022 4:00 AM","Feb 17, 2022 5:00 AM","54,464.75",,,
"Feb 17, 2022 5:00 AM","Feb 17, 2022 6:00 AM","57,740.75",,,
"Feb 17, 2022 6:00 AM","Feb 17, 2022 7:00 AM","64,394.00",,,
"Feb 17, 2022 7:00 AM","Feb 17, 2022 8:00 AM","70,064.25",,,
"Feb 17, 2022 8:00 AM","Feb 17, 2022 9:00 AM","73,010.75",,,
"Feb 17, 2022 9:00 AM","Feb 17, 2022 10:00 AM","73,957.50",,,
"Feb 17, 2022 10:00 AM","Feb 17, 2022 11:00 AM","74,096.75",,,
"Feb 17, 2022 11:00 AM","Feb 17, 2022 12:00 PM","74,110.25",,,
"Feb 17, 2022 12:00 PM","Feb 17, 2022 1:00 PM","74,138.75",,,
"Feb 17, 2022 1:00 PM","Feb 17, 2022 2:00 PM","72,748.25",,,
"Feb 17, 2022 2:00 PM","Feb 17, 2022 3:00 PM","71,427.25",,,
"Feb 17, 2022 3:00 PM","Feb 17, 2022 4:00 PM","70,701.00",,,
"Feb 17, 2022 4:00 PM","Feb 17, 2022 5:00 PM","69,761.00",,,
"Feb 17, 2022 5:00 PM","Feb 17, 2022 6:00 PM","71,482.50",,,
"Feb 17, 2022 6:00 PM","Feb 17, 2022 7:00 PM","74,293.00",,,
"Feb 17, 2022 7:00 PM","Feb 17, 2022 8:00 PM","72,832.00",,,
"Feb 17, 2022 8:00 PM","Feb 17, 2022 9:00 PM","69,039.25",,,
"Feb 17, 2022 9:00 PM","Feb 17, 2022 10:00 PM","65,354.00",,,
"Feb 17, 2022 10:00 PM","Feb 17, 2022 11:00 PM","61,659.25",,,
"Feb 17, 2022 11:00 PM","Feb 18, 2022 12:00 AM","58,343.00",,,
"Feb 18, 2022 12:00 AM","Feb 18, 2022 1:00 AM","54,969.00",,,
"Feb 18, 2022 1:00 AM","Feb 18, 2022 2:00 AM","53,129.50",,,
"Feb 18, 2022 2:00 AM","Feb 18, 2022 3:00 AM","52,272.00",,,
"Feb 18, 2022 3:00 AM","Feb 18, 2022 4:00 AM","51,528.50",,,
"Feb 18, 2022 4:00 AM","Feb 18, 2022 5:00 AM","52,862.25",,,
"Feb 18, 2022 5:00 AM","Feb 18, 2022 6:00 AM","55,788.75",,,
"Feb 18, 2022 6:00 AM","Feb 18, 2022 7:00 AM","62,561.00",,,
"Feb 18, 2022 7:00 AM","Feb 18, 2022 8:00 AM","68,127.75",,,
"Feb 18, 2022 8:00 AM","Feb 18, 2022 9:00 AM","70,463.25",,,
"Feb 18, 2022 9:00 AM","Feb 18, 2022 10:00 AM","71,363.50",,,
"Feb 18, 2022 10:00 AM","Feb 18, 2022 11:00 AM","72,413.50",,,
"Feb 18, 2022 11:00 AM","Feb 18, 2022 12:00 PM","73,009.00",,,
"Feb 18, 2022 12:00 PM","Feb 18, 2022 1:00 PM","72,389.50",,,
"Feb 18, 2022 1:00 PM","Feb 18, 2022 2:00 PM","71,263.00",,,
"Feb 18, 2022 2:00 PM","Feb 18, 2022 3:00 PM","69,760.00",,,
"Feb 18, 2022 3:00 PM","Feb 18, 2022 4:00 PM","69,140.25",,,
"Feb 18, 2022 4:00 PM","Feb 18, 2022 5:00 PM","68,066.00",,,
"Feb 18, 2022 5:00 PM","Feb 18, 2022 6:00 PM","69,423.75",,,
"Feb 18, 2022 6:00 PM","Feb 18, 2022 7:00 PM","70,988.25",,,
"Feb 18, 2022 7:00 PM","Feb 18, 2022 8:00 PM","69,037.25",,,
"Feb 18, 2022 8:00 PM","Feb 18, 2022 9:00 PM","64,869.75",,,
"Feb 18, 2022 9:00 PM","Feb 18, 2022 10:00 PM","61,564.25",,,
"Feb 18, 2022 10:00 PM","Feb 18, 2022 11:00 PM","58,800.00",,,
"Feb 18, 2022 11:00 PM","Feb 19, 2022 12:00 AM","54,737.00",,,
"Feb 19, 2022 12:00 AM","Feb 19, 2022 1:00 AM","52,218.00",,,
"Feb 19, 2022 1:00 AM","Feb 19, 2022 2:00 AM","50,300.50",,,
"Feb 19, 2022 2:00 AM","Feb 19, 2022 3:00 AM","49,877.50",,,
"Feb 19, 2022 3:00 AM","Feb 19, 2022 4:00 AM","50,518.75",,,
"Feb 19, 2022 4:00 AM","Feb 19, 2022 5:00 AM","50,776.25",,,
"Feb 19, 2022 5:00 AM","Feb 19, 2022 6:00 AM","50,697.75",,,
"Feb 19, 2022 6:00 AM","Feb 19, 2022 7:00 AM","51,630.75",,,
"Feb 19, 2022 7:00 AM","Feb 19, 2022 8:00 AM","53,843.50",,,
"Feb 19, 2022 8:00 AM","Feb 19, 2022 9:00 AM","57,850.25",,,
"Feb 19, 2022 9:00 AM","Feb 19, 2022 10:00 AM","60,519.25",,,
"Feb 19, 2022 10:00 AM","Feb 19, 2022 11:00 AM","62,609.50",,,
"Feb 19, 2022 11:00 AM","Feb 19, 2022 12:00 PM","63,559.50",,,
"Feb 19, 2022 12:00 PM","Feb 19, 2022 1:00 PM","62,647.75",,,
"Feb 19, 2022 1:00 PM","Feb 19, 2022 2:00 PM","60,656.75",,,
"Feb 19, 2022 2:00 PM","Feb 19, 2022 3:00 PM","60,039.25",,,
"Feb 19, 2022 3:00 PM","Feb 19, 2022 4:00 PM","58,858.00",,,
"Feb 19, 2022 4:00 PM","Feb 19, 2022 5:00 PM","57,957.00",,,
"Feb 19, 2022 5:00 PM","Feb 19, 2022 6:00 PM","60,060.25",,,
"Feb 19, 2022 6:00 PM","Feb 19, 2022 7:00 PM","63,263.75",,,
"Feb 19, 2022 7:00 PM","Feb 19, 2022 8:00 PM","62,055.75",,,
"Feb 19, 2022 8:00 PM","Feb 19, 2022 9:00 PM","58,649.25",,,
"Feb 19, 2022 9:00 PM","Feb 19, 2022 10:00 PM","56,328.00",,,
"Feb 19, 2022 10:00 PM","Feb 19, 2022 11:00 PM","55,197.50",,,
"Feb 19, 2022 11:00 PM","Feb 20, 2022 12:00 AM","52,321.25",,,
"Feb 20, 2022 12:00 AM","Feb 20, 2022 1:00 AM","49,353.75",,,
"Feb 20, 2022 1:00 AM","Feb 20, 2022 2:00 AM","46,827.75",,,
"Feb 20, 2022 2:00 AM","Feb 20, 2022 3:00 AM","45,714.00",,,
"Feb 20, 2022 3:00 AM","Feb 20, 2022 4:00 AM","45,429.25",,,
"Feb 20, 2022 4:00 AM","Feb 20, 2022 5:00 AM","45,640.00",,,
"Feb 20, 2022 5:00 AM","Feb 20, 2022 6:00 AM","45,638.00",,,
"Feb 20, 2022 6:00 AM","Feb 20, 2022 7:00 AM","45,578.50",,,
"Feb 20, 2022 7:00 AM","Feb 20, 2022 8:00 AM","46,913.25",,,
"Feb 20, 2022 8:00 AM","Feb 20, 2022 9:00 AM","50,582.25",,,
"Feb 20, 2022 9:00 AM","Feb 20, 2022 10:00 AM","54,283.00",,,
"Feb 20, 2022 10:00 AM","Feb 20, 2022 11:00 AM","56,834.75",,,
"Feb 20, 2022 11:00 AM","Feb 20, 2022 12:00 PM","59,653.25",,,
"Feb 20, 2022 12:00 PM","Feb 20, 2022 1:00 PM","59,659.25",,,
"Feb 20, 2022 1:00 PM","Feb 20, 2022 2:00 PM","58,233.00",,,
"Feb 20, 2022 2:00 PM","Feb 20, 2022 3:00 PM","57,561.75",,,
"Feb 20, 2022 3:00 PM","Feb 20, 2022 4:00 PM","57,456.00",,,
"Feb 20, 2022 4:00 PM","Feb 20, 2022 5:00 PM","57,435.00",,,
"Feb 20, 2022 5:00 PM","Feb 20, 2022 6:00 PM","59,671.75",,,
"Feb 20, 2022 6:00 PM","Feb 20, 2022 7:00 PM","62,605.75",,,
"Feb 20, 2022 7:00 PM","Feb 20, 2022 8:00 PM","61,156.75",,,
"Feb 20, 2022 8:00 PM","Feb 20, 2022 9:00 PM","57,863.50",,,
"Feb 20, 2022 9:00 PM","Feb 20, 2022 10:00 PM","55,827.50",,,
"Feb 20, 2022 10:00 PM","Feb 20, 2022 11:00 PM","55,015.25",,,
"Feb 20, 2022 11:00 PM","Feb 21, 2022 12:00 AM","52,612.25",,,
"Feb 21, 2022 12:00 AM","Feb 21, 2022 1:00 AM","50,696.00",,,
"Feb 21, 2022 1:00 AM","Feb 21, 2022 2:00 AM","49,982.00",,,
"Feb 21, 2022 2:00 AM","Feb 21, 2022 3:00 AM","49,781.75",,,
"Feb 21, 2022 3:00 AM","Feb 21, 2022 4:00 AM","50,570.75",,,
"Feb 21, 2022 4:00 AM","Feb 21, 2022 5:00 AM","52,714.00",,,
"Feb 21, 2022 5:00 AM","Feb 21, 2022 6:00 AM","56,173.25",,,
"Feb 21, 2022 6:00 AM","Feb 21, 2022 7:00 AM","63,466.25",,,
"Feb 21, 2022 7:00 AM","Feb 21, 2022 8:00 AM","69,239.50",,,
"Feb 21, 2022 8:00 AM","Feb 21, 2022 9:00 AM","71,975.00",,,
"Feb 21, 2022 9:00 AM","Feb 21, 2022 10:00 AM","73,084.00",,,
"Feb 21, 2022 10:00 AM","Feb 21, 2022 11:00 AM","73,791.75",,,
"Feb 21, 2022 11:00 AM","Feb 21, 2022 12:00 PM","74,067.50",,,
"Feb 21, 2022 12:00 PM","Feb 21, 2022 1:00 PM","74,124.50",,,
"Feb 21, 2022 1:00 PM","Feb 21, 2022 2:00 PM","73,688.25",,,
"Feb 21, 2022 2:00 PM","Feb 21, 2022 3:00 PM","72,837.00",,,
"Feb 21, 2022 3:00 PM","Feb 21, 2022 4:00 PM","72,257.50",,,
"Feb 21, 2022 4:00 PM","Feb 21, 2022 5:00 PM","71,310.50",,,
"Feb 21, 2022 5:00 PM","Feb 21, 2022 6:00 PM","72,416.75",,,
"Feb 21, 2022 6:00 PM","Feb 21, 2022 7:00 PM","74,793.50",,,
"Feb 21, 2022 7:00 PM","Feb 21, 2022 8:00 PM","73,320.50",,,
"Feb 21, 2022 8:00 PM","Feb 21, 2022 9:00 PM","69,172.75",,,
"Feb 21, 2022 9:00 PM","Feb 21, 2022 10:00 PM","65,406.00",,,
"Feb 21, 2022 10:00 PM","Feb 21, 2022 11:00 PM","62,596.75",,,
"Feb 21, 2022 11:00 PM","Feb 22, 2022 12:00 AM","59,072.50",,,
"Feb 22, 2022 12:00 AM","Feb 22, 2022 1:00 AM","56,357.25",,,
"Feb 22, 2022 1:00 AM","Feb 22, 2022 2:00 AM","54,670.50",,,
"Feb 22, 2022 2:00 AM","Feb 22, 2022 3:00 AM","53,828.50",,,
"Feb 22, 2022 3:00 AM","Feb 22, 2022 4:00 AM","54,202.25",,,
"Feb 22, 2022 4:00 AM","Feb 22, 2022 5:00 AM","56,004.25",,,
